;community;species;abundance;family;code;recolection;incubator;total;viable;viablePER;total_germ;germPER;autumn_germ;winter_germ;spring_germ;summer_germ;t50lm;HS
140;Temperate;Saxifraga conifera;0.81;Saxifragaceae;140921-08;14/09/2021;Fellfield;59;31;52.54;27;87.1;48.39;48.39;0;38.71;108.0248016;518.6666667
141;Temperate;Saxifraga conifera;0.81;Saxifragaceae;140921-08;14/09/2021;Snowbed;60;39;65;27;69.23;7.69;7.69;0;61.54;327.5;1294.5
142;Temperate;Saxifraga paniculata;0.03;Saxifragaceae;310821-14;31/08/2021;Fellfield;100;97;97;94;96.91;0;0;96.91;0;222.0175886;499.875
143;Temperate;Saxifraga paniculata;0.03;Saxifragaceae;310821-14;31/08/2021;Snowbed;100;89;89;53;59.55;0;0;20.22;39.33;283.5198413;551.5
144;Temperate;Scilla verna;0.04;Asparagaceae;310821-06;31/08/2021;Fellfield;100;96;96;10;10.42;0;0;0;10.42;NA;NA
145;Temperate;Scilla verna;0.04;Asparagaceae;310821-06;31/08/2021;Snowbed;100;98;98;28;28.57;0;0;0;28.57;NA;NA
146;Temperate;Sedum album cf;0.03;Crassulaceae;300821-14;30/08/2021;Fellfield;100;97;97;0;0;0;0;0;0;NA;NA
147;Temperate;Sedum album cf;0.03;Crassulaceae;300821-14;30/08/2021;Snowbed;100;94;94;0;0;0;0;0;0;NA;NA
148;Mediterranean;Sedum anglicum;0.08;Crassulaceae;240821-09;24/08/2021;Fellfield;100;95;95;82;86.32;75.79;75.79;2.11;3.16;18.76423611;214.75
149;Mediterranean;Sedum anglicum;0.08;Crassulaceae;240821-09;24/08/2021;Snowbed;100;94;94;61;64.89;59.57;59.57;3.19;2.13;33.84027778;241.375
150;Mediterranean;Sedum anglicum;0.08;Crassulaceae;250821-09;25/08/2021;Fellfield;100;76;76;48;63.16;38.16;38.16;13.16;7.89;148.6805556;371.8333333
151;Mediterranean;Sedum anglicum;0.08;Crassulaceae;250821-09;25/08/2021;Snowbed;100;90;90;40;44.44;27.78;27.78;6.67;10;298.5;789
152;Mediterranean;Sedum brevifolium;1.8;Crassulaceae;240821-11;24/08/2021;Fellfield;100;89;89;68;76.4;71.91;71.91;3.37;1.12;75.04807692;352.625
153;Mediterranean;Sedum brevifolium;1.8;Crassulaceae;240821-11;24/08/2021;Snowbed;95;90;94.74;65;72.22;64.44;64.44;2.22;5.56;84.89285714;240.625
154;Mediterranean;Sedum brevifolium;1.8;Crassulaceae;250821-08;25/08/2021;Fellfield;99;93;93.94;24;25.81;11.83;11.83;13.98;0;NA;NA
155;Mediterranean;Sedum brevifolium;1.8;Crassulaceae;250821-08;25/08/2021;Snowbed;100;93;93;20;21.51;4.3;4.3;1.08;16.13;NA;NA
