accession;code;species;site;abundance;recolection;family;community;habitat;germ_strategy;Area_curves
130921-04;130921-04;Pedicularis pyrenaica;Hou sin Tierri;0.09;13/09/2021;Orobanchaceae;Temperate;Specialist;Early_season;21.05502
310821-04;310821-04;Pedicularis pyrenaica;Cazadores;0.09;31/08/2021;Orobanchaceae;Temperate;Specialist;Early_season;21.05502
300921-02;300921-02;Phyteuma orbiculare;Cazadores;0.19;30/09/2021;Campanulaceae;Temperate;Not_specialist;Late_season;-11.39109
130921-08;130921-08;Plantago alpina;Hou sin Tierri;1.27;13/09/2021;Plantaginaceae;Temperate;Specialist;Biphasic;82.99626
300821-15;300821-15;Plantago alpina;Hoyo sin Tierra;1.27;30/08/2021;Plantaginaceae;Temperate;Specialist;Biphasic;82.99626
310821-16;310821-16;Ranunculus carinthiacus;Cazadores;0.17;31/08/2021;Ranunculaceae;Temperate;Specialist;Sporadic_low;24.66671
140921-01;140921-01;Salix breviserrata;Boches;0.03;14/09/2021;Salicaceae;Temperate;Specialist;Sporadic_low;
130921-09;130921-09;Saxifraga conifera;Hou sin Tierri;0.81;13/09/2021;Saxifragaceae;Temperate;Specialist;Biphasic;195.2192
140921-08;140921-08;Saxifraga conifera;Boches;0.81;14/09/2021;Saxifragaceae;Temperate;Specialist;Biphasic;195.2192
310821-14;310821-14;Saxifraga paniculata;Cazadores;0.03;31/08/2021;Saxifragaceae;Temperate;Not_specialist;Late_season;84.8386
310821-06;310821-06;Scilla verna;Cazadores;0.04;31/08/2021;Asparagaceae;Temperate;Not_specialist;Late_season;-1.316253
300821-14;300821-14;Sedum album cf;Hoyo sin Tierra;0.03;30/08/2021;Crassulaceae;Temperate;Not_specialist;Sporadic_low;
310821-03;310821-03;Sesleria caerula;Cazadores;;31/08/2021;Poaceae;Temperate;Not_specialist;Biphasic;129.6479
310821-03;310821-03b;Sesleria caerula;Cazadores;;31/08/2021;Poaceae;Temperate;Not_specialist;Biphasic;129.6479
130921-07;130921-07;Silene acaulis;Hou sin Tierri;1.45;13/09/2021;Caryophyllaceae;Temperate;Specialist;Late_season;17.51724
140921-03;140921-03;Silene acaulis;Boches;1.45;14/09/2021;Caryophyllaceae;Temperate;Specialist;Late_season;17.51724
140921-09;140921-09;Silene ciliata;Boches;0.45;14/09/2021;Caryophyllaceae;Temperate;Specialist;Early_season;56.58018
300821-11;300821-11;Silene ciliata;Hoyo sin Tierra;0.45;30/08/2021;Caryophyllaceae;Temperate;Specialist;Early_season;56.58018
130921-10;130921-10;Thymus praecox;Hou sin Tierri;2.65;13/09/2021;Lamiaceae;Temperate;Not_specialist;Biphasic;125.6879
300821-07;300821-07;Thymus praecox;Hoyo sin Tierra;2.65;30/08/2021;Lamiaceae;Temperate;Not_specialist;Biphasic;125.6879
300821-07;300821-07b;Thymus praecox;Hoyo sin Tierra;2.65;30/08/2021;Lamiaceae;Temperate;Not_specialist;Biphasic;125.6879
