species;community;incubator;seeds_germ;viable;viablePER;germPER;autumn_germ;spring_germ;summer_germ;winter_germ;t50;heat_sum;mass_50;family;habitat;germ_strategy
Minuartia arctica;Temperate;Snowbed;14;100;100;14;0;0.03;3.00E-04;0.01;NA;NA;4.577;Caryophyllaceae;Specialist;Biphasic
Minuartia recurva;Mediterranean;Fellfield;280;280;93.63916667;100;0.682142857;0.317857143;0.001135204;0.003571429;61.94656604;102.8333333;15.632;Caryophyllaceae;Specialist;Biphasic
Minuartia recurva;Mediterranean;Snowbed;270;273;91;98.80916667;0.538461538;0.446886447;0.001636947;0.091575092;82.81881764;141.5;15.632;Caryophyllaceae;Specialist;Biphasic
Minuartia verna;Temperate;Fellfield;40;94;94;42.2825;0.414893617;0;0;0;NA;NA;24.9;Caryophyllaceae;Specialist;Biphasic
Minuartia verna;Temperate;Snowbed;12;95;95;12.545;0.084210526;0.010526316;0.000110803;0;NA;NA;24.9;Caryophyllaceae;Specialist;Biphasic
Neochischkinia truncatula;Mediterranean;Fellfield;229;279;93;82.57833333;0.806451613;0.010752688;3.85E-05;0.010752688;8.082885858;85.05;4.716;Poaceae;Not_specialist;Autumn
Neochischkinia truncatula;Mediterranean;Snowbed;178;265;89.19666667;67.75666667;0.618867925;0.045283019;0.000170879;0.037735849;8.791049959;78.0625;4.716;Poaceae;Not_specialist;Autumn
Pedicularis pyrenaica;Temperate;Fellfield;45;119;59.5;41.20375;0;0.378151261;0.003177742;0;203.6666667;386;36.27272727;Orobanchaceae;Specialist;Early_season
Pedicularis pyrenaica;Temperate;Snowbed;45;148;74;31.5925;0;0.277027027;0.001871804;0.277027027;249.45;335.5;36.27272727;Orobanchaceae;Specialist;Early_season
Phalacrocarpum oppositifolium;Mediterranean;Fellfield;112;134;62.92555556;84.78111111;0.552238806;0.268656716;0.002004901;0.119402985;72.41944444;363.0625;113.1;Asteraceae;Not_specialist;Biphasic
Phalacrocarpum oppositifolium;Mediterranean;Snowbed;126;126;65.92555556;100;0.523809524;0.468253968;0.003716301;0.468253968;78.87046883;201.0555556;113.1;Asteraceae;Not_specialist;Biphasic
Phyteuma hemisphaericum;Mediterranean;Fellfield;51;160;80.375;31.8;0.00625;0.29375;0.001835938;0;NA;NA;4.221;Campanulaceae;Specialist;Early_season
Phyteuma hemisphaericum;Mediterranean;Snowbed;55;163;84.51625;33.64625;0.006134969;0.17791411;0.001091498;0.036809816;284.5;547.5;4.221;Campanulaceae;Specialist;Early_season
