species;family;mountain;code;incubator;petridish;petricode;total;viable;date;germinated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;300821-04;Fellfield;6;300821-04-F6;25;21;08/08/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;300821-04;Fellfield;6;300821-04-F6;25;19;08/08/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;300821-04;Fellfield;6;300821-04-F6;25;19;15/08/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;300821-04;Fellfield;6;300821-04-F6;25;19;22/08/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;27/10/2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;10/11/2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;12/04/2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;19/04/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;26/04/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthyllis vulneraria;Leguminosae;Temperate alpine;310821-12;Fellfield;5;310821-12-F5;25;24;03/05/2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
