species;accession;code;incubator;petridish;mgr;syn
Dianthus langeanus;110821-01;110821-01;Fellfield;4;0.093984962;0.72
Dianthus langeanus;110821-01;110821-01;Snowbed;1;0.139664804;0.92
Dianthus langeanus;110821-01;110821-01;Snowbed;2;0.081272085;0.6442688
Dianthus langeanus;110821-01;110821-01;Snowbed;3;0.166666667;1
Dianthus langeanus;110821-01;110821-01;Snowbed;4;0.139664804;0.92
Dianthus langeanus;110821-01;110821-01b;Fellfield;5;0.014705882;1
Dianthus langeanus;110821-01;110821-01b;Fellfield;6;0.010032103;0.6433333
Dianthus langeanus;110821-01;110821-01b;Snowbed;5;0.003845538;0.3985507
Dianthus langeanus;110821-01;110821-01b;Snowbed;6;0.003936388;0.3833333
Dianthus langeanus;120821-02;120821-02;Fellfield;1;0.056947608;0.4933333
Dianthus langeanus;120821-02;120821-02;Fellfield;2;0.075709779;0.6413043
Dianthus langeanus;120821-02;120821-02;Fellfield;3;0.139664804;0.92
Dianthus langeanus;120821-02;120821-02;Fellfield;4;0.120192308;0.8466667
Dianthus langeanus;120821-02;120821-02;Snowbed;1;0.017857143;0.2789855
Dianthus langeanus;120821-02;120821-02;Snowbed;2;0.093984962;0.72
Dianthus langeanus;120821-02;120821-02;Snowbed;3;0.028735632;0.4466667
Dianthus langeanus;120821-02;120821-02;Snowbed;4;0.081272085;0.6442688
Dianthus langeanus;120821-02;120821-02b;Fellfield;5;0.008934954;0.5233333
Dianthus langeanus;120821-02;120821-02b;Fellfield;6;0.00911252;0.5612648
Dianthus langeanus;120821-02;120821-02b;Snowbed;5;0.004393673;0.3433333
Dianthus langeanus;120821-02;120821-02b;Snowbed;6;0.003732504;0.3333333
Erigeron alpinus;310821-15;310821-15;Fellfield;1;0.00436443;0.3804348
Erigeron alpinus;310821-15;310821-15;Fellfield;2;0.004623636;0.2433333
Erigeron alpinus;310821-15;310821-15;Fellfield;3;0.004473072;0.2166667
Erigeron alpinus;310821-15;310821-15;Fellfield;4;0.004443622;0.3224638
Erigeron alpinus;310821-15;310821-15;Snowbed;1;0.003747564;0.2333333
Erigeron alpinus;310821-15;310821-15;Snowbed;2;0.003755869;0.5289855
Erigeron alpinus;310821-15;310821-15;Snowbed;3;0.003779289;0.3366667
Erigeron alpinus;310821-15;310821-15;Snowbed;4;0.003808653;0.5466667
Euphrasia salisburgensis;011021-01;011021-01;Fellfield;1;;
Euphrasia salisburgensis;011021-01;011021-01;Fellfield;2;0.004950495;
Euphrasia salisburgensis;011021-01;011021-01;Fellfield;3;;
Euphrasia salisburgensis;011021-01;011021-01;Fellfield;4;;
Euphrasia salisburgensis;011021-01;011021-01;Snowbed;1;0.004739336;
Euphrasia salisburgensis;011021-01;011021-01;Snowbed;2;;
Euphrasia salisburgensis;011021-01;011021-01;Snowbed;3;;
Euphrasia salisburgensis;011021-01;011021-01;Snowbed;4;;
Euphrasia salisburgensis;300921-01;300921-01;Fellfield;1;;
Euphrasia salisburgensis;300921-01;300921-01;Fellfield;2;0.002932551;
Euphrasia salisburgensis;300921-01;300921-01;Fellfield;3;0.002932551;
Euphrasia salisburgensis;300921-01;300921-01;Fellfield;4;;
Euphrasia salisburgensis;300921-01;300921-01;Snowbed;1;;
Euphrasia salisburgensis;300921-01;300921-01;Snowbed;2;;
Euphrasia salisburgensis;300921-01;300921-01;Snowbed;3;;
