species;community;family;accession;code;abundance;recolection;incubator;total_seeds;viable_seeds;viablePER;seeds_germ;germPER;autumn_germ ;spring_germ ;summer_germ ;winter_germ;t50;HS;MGT;Syn
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;280721-02;280721-02b;0.04;28/07/2021;Fellfield;50;46;92;40;86.96;86.96;0;0;0;11.55284043;73;0.00971;1
Cerastium ramosissimum;Mediterranean;Caryophyllaceae;280721-02;280721-02b;0.04;28/07/2021;Snowbed;50;50;100;30;60;60;0;0;0;17.00367647;53.25;0.00971;1
Conopodium majus;Mediterranean;Apiaceae;240821-03;240821-03;0.33;24/08/2021;Fellfield;99;28;28.28;27;96.43;0;96.43;0;0;212.5916667;590.375;0.00461;0.412
Conopodium majus;Mediterranean;Apiaceae;240821-03;240821-03;0.33;24/08/2021;Snowbed;100;53;53;53;100;0;98.11;1.89;98.11;242.5089286;393.5;0.0041;0.967
Conopodium majus;Mediterranean;Apiaceae;240821-03;240821-03b;0.33;24/08/2021;Fellfield;50;42;84;39;92.86;0;92.86;0;33.33;152.849359;70.75;0.0047;0.467
Conopodium majus;Mediterranean;Apiaceae;240821-03;240821-03b;0.33;24/08/2021;Snowbed;50;46;92;45;97.83;0;97.83;0;97.83;109.5095109;56;0.0041;1
Conopodium majus;Mediterranean;Apiaceae;250821-04;250821-04;0.33;25/08/2021;Fellfield;100;56;56;56;100;0;100;0;0;202.6166667;479;0.00468;0.943
Conopodium majus;Mediterranean;Apiaceae;250821-04;250821-04;0.33;25/08/2021;Snowbed;100;64;64;63;98.44;0;98.44;0;98.44;235.5083333;315;0.00412;1
Dethawia splendens;Temperate;Apiaceae;310821-07;310821-07;0.18;31/08/2021;Fellfield;79;59;74.68;56;94.92;0;94.92;0;0;212.93125;457.625;0.00461;0.237
Dethawia splendens;Temperate;Apiaceae;310821-07;310821-07;0.18;31/08/2021;Snowbed;76;49;64.47;49;100;0;97.96;2.04;91.84;230.4323427;251.875;0.00428;0.596
Dianthus langeanus;Mediterranean;Caryophyllaceae;110821-01;110821-01;3.79;11/08/2021;Fellfield;100;99;99;99;100;98.99;1.01;0;0;3.706715839;58;0.0982;0.757
Dianthus langeanus;Mediterranean;Caryophyllaceae;110821-01;110821-01;3.79;11/08/2021;Snowbed;100;95;95;95;100;100;0;0;0;3.270833333;47;0.132;0.871
Dianthus langeanus;Mediterranean;Caryophyllaceae;110821-01;110821-01b;3.79;11/08/2021;Fellfield;50;50;100;50;100;90;10;0;2;11.2734375;73;0.124;0.822
Dianthus langeanus;Mediterranean;Caryophyllaceae;110821-01;110821-01b;3.79;11/08/2021;Snowbed;50;49;98;49;100;2.04;97.96;0;61.22;174.1488782;73;0.0389;0.391
Dianthus langeanus;Mediterranean;Caryophyllaceae;120821-02;120821-02;3.79;12/08/2021;Fellfield;100;99;99;99;100;100;0;0;0;3.715710812;54;0.0981;0.725
Dianthus langeanus;Mediterranean;Caryophyllaceae;120821-02;120821-02;3.79;12/08/2021;Snowbed;100;97;97;97;100;94.85;5.15;0;5.15;7.501190476;93.5;0.0555;0.522
Dianthus langeanus;Mediterranean;Caryophyllaceae;120821-02;120821-02b;3.79;12/08/2021;Fellfield;49;48;97.96;48;100;72.92;27.08;0;2.08;13.73771106;83;0.00902;0.542
Dianthus langeanus;Mediterranean;Caryophyllaceae;120821-02;120821-02b;3.79;12/08/2021;Snowbed;50;49;98;49;100;8.16;89.8;2.04;46.94;175.4079098;80.75;0.00406;0.338
Erigeron alpinus;Temperate;Asteraceae;310821-15;310821-15;0.04;31/08/2021;Fellfield;100;98;98;98;100;0;100;0;0;219.75;463.875;0.00448;0.291
