community;species;family;population;recolection;incubator;abundance;total_seeds;viable_seeds;viablePER;total_seeds_germinated;final_germ;autumn_germ ;spring_germ;summer_germ;winter_germ;t50;Env_heat_sum;MGT;Syn
Temperate;Jasione cavanillesii;Campanulaceae;140921-05;14/09/2021;Fellfield;0.04;45;28;62.22;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Jasione cavanillesii;Campanulaceae;140921-05;14/09/2021;Snowbed;0.04;45;16;35.56;1;6.25;0;0;6.25;0;NA;NA;0.003289474;NA
Mediterranean;Jurinea humilis;Asteraceae;110821-06;11/08/2021;Fellfield;0.41;100;49;59.455;47;96.97;37.5;54.925;4.545;0;93.8375;137.25;0.012605;0.2355
Mediterranean;Jurinea humilis;Asteraceae;110821-06;11/08/2021;Snowbed;0.41;75;30;50;30;100;0;92.5;7.5;85;212.3938802;254.125;0.00393;0.6595
Mediterranean;Jurinea humilis;Asteraceae;120821-03;12/08/2021;Fellfield;0.41;117;54;53.24;54;100;44.445;54.165;1.39;0;89.14313727;116.75;0.020725;0.2785
Mediterranean;Jurinea humilis;Asteraceae;120821-03;12/08/2021;Snowbed;0.41;59;31;43.84;31;100;0;100;0;80;228.9166667;254.5;0.003919292;0.277
Temperate;Jurinea humilis;Asteraceae;310821-01;31/08/2021;Fellfield;0.27;74;22;38.25;22;100;21.43;78.57;0;0;145.6833333;236.125;0.0388;0.387
Temperate;Jurinea humilis;Asteraceae;310821-01;31/08/2021;Snowbed;0.27;127;48;48.335;48;100;0;97.22;2.78;88.89;191.533631;158.75;0.003985;0.7205
Temperate;Kobresia myosuroides;Cyperaceae;130921-03;13/09/2021;Fellfield;0.01;150;84;64.5;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Kobresia myosuroides;Cyperaceae;130921-03;13/09/2021;Snowbed;0.01;150;73;60;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Koeleria vallesiana;Poaceae;300821-02;30/08/2021;Fellfield;1.76;150;127;87;124;96.81;51.065;42.555;3.19;32.98;63.75483941;74;0.032825;0.7215
Temperate;Koeleria vallesiana;Poaceae;300821-02;30/08/2021;Snowbed;1.76;150;95;70.5;91;95.72;41.835;46.335;7.54;44.165;84.81329749;122.5625;0.009865;0.5865
Temperate;Koeleria vallesiana;Poaceae;310821-09;31/08/2021;Fellfield;1.76;149;111;78.335;110;98.89;50;46.665;2.22;32.22;70.80069442;103;0.019065;0.4925
Temperate;Koeleria vallesiana;Poaceae;310821-09;31/08/2021;Snowbed;1.76;148;113;79.75;112;98.865;40.58;26.66;31.625;24.39;126.2177083;154.875;0.008535;0.263
Mediterranean;Luzula caespitosa;Juncaceae;110821-03;11/08/2021;Fellfield;15.35;150;81;65.5;42;58.55;35.485;18.84;4.225;0;100.7568681;253.75;0.00923;0.5995
Mediterranean;Luzula caespitosa;Juncaceae;110821-03;11/08/2021;Snowbed;15.35;150;72;59.5;68;93.87;0;92.81;1.065;91.745;180.8505479;244.25;0.004035;0.9245
Mediterranean;Luzula caespitosa;Juncaceae;120821-04;12/08/2021;Fellfield;15.35;150;73;57;63;87.12;18.75;54.27;14.1;3.125;194.0659722;601.0625;0.00512;0.3165
Mediterranean;Luzula caespitosa;Juncaceae;120821-04;12/08/2021;Snowbed;15.35;150;94;70.5;89;94.68;0;92.55;2.13;89.36;190.8196615;244.25;0.004005;0.8185
Temperate;Minuartia CF;Caryophyllaceae;310821-10;31/08/2021;Fellfield;NA;100;99;99;44;44.44;25.25;14.14;5.05;0;227;534;0.00834;0.269
Temperate;Minuartia CF;Caryophyllaceae;310821-10;31/08/2021;Snowbed;NA;100;100;100;14;14;0;3;11;1;NA;NA;0.0034;0.108
Mediterranean;Minuartia recurva;Caryophyllaceae;110821-07;11/08/2021;Fellfield;0.37;149;137;91.92;137;100;51.11;48.89;0;0;92.72706981;130.875;0.02605;0.4315
Mediterranean;Minuartia recurva;Caryophyllaceae;110821-07;11/08/2021;Snowbed;0.37;150;135;91;135;100;35.795;63.14;1.065;10.145;121.9904574;172.875;0.00698;0.3885
Mediterranean;Minuartia recurva;Caryophyllaceae;120821-01;12/08/2021;Fellfield;0.37;150;143;94.5;143;100;51.66;48.34;0;1.085;87.09159917;83.125;0.04306;0.3737
Mediterranean;Minuartia recurva;Caryophyllaceae;120821-01;12/08/2021;Snowbed;0.37;150;138;91;135;96.59;45.285;51.305;0;15.23;112.4168155;76.875;0.01854;0.401
Temperate;Minuartia verna;Caryophyllaceae;300821-06;30/08/2021;Fellfield;0.26;100;94;94;40;42.55;41.49;0;1.06;0;NA;NA;0.0426;0.572
Temperate;Minuartia verna;Caryophyllaceae;300821-06;30/08/2021;Snowbed;0.26;100;95;95;12;12.63;8.42;1.05;3.16;0;NA;NA;0.00747;0.2
Mediterranean;Neochischkinia truncatula;Poaceae;240821-07;24/08/2021;Fellfield;0.58;150;146;98;134;89.44;86.44;3;0;3;9.990380783;82.8125;0.04575;0.9275
