species;code;incubator;petridish;total;viable;viablePER;seeds_germ;germPER;Mid_nov;Winter_germ;spring_germ;summer_germ;Mid_june;Mid_sep;datesow;datelast;t50lm;date50;HS;coldstratgerm;Uncertainty
Arenaria moehringioides;140921-02;Fellfield;2;20;18;90;9;50;0;0;38.89;11.11;38.89;11.11;06/10/2021;19/09/2022;272;04/07/2022;1076.5;100;2.059
Arenaria moehringioides;140921-02;Fellfield;3;20;15;75;6;40;13.33;0;26.67;0;26.67;0;06/10/2021;19/09/2022;NA;NA;NA;66.68;1.918
Arenaria moehringioides;140921-02;Snowbed;1;20;14;70;6;42.86;0;21.43;7.14;21.43;0;21.43;06/10/2021;19/09/2022;NA;NA;NA;100;1.792
Arenaria moehringioides;140921-02;Snowbed;2;20;16;80;3;18.75;0;12.5;6.25;6.25;0;6.25;06/10/2021;19/09/2022;NA;NA;NA;100;0.918
Arenaria moehringioides;140921-02;Snowbed;3;20;14;70;7;50;0;21.43;7.14;28.57;0;28.57;06/10/2021;19/09/2022;294;26/07/2022;783.5;100;2.522
Armeria cantabrica;130921-15;Fellfield;1;25;21;84;17;80.95;4.76;0;9.52;61.9;19.05;57.14;05/10/2021;19/09/2022;281.1666667;12/07/2022;1223.5;94.12;3.293
Armeria cantabrica;130921-15;Fellfield;2;21;17;80.95;17;100;0;0;29.41;58.82;29.41;70.59;18/10/2021;19/09/2022;241.8;15/06/2022;674.5;100;1.736
Armeria cantabrica;130921-15;Fellfield;3;22;17;77.27;17;100;0;0;58.82;70.59;70.59;29.41;18/10/2021;15/08/2022;222.9;27/05/2022;452.5;100;2.89
Armeria cantabrica;130921-15;Fellfield;4;23;16;69.57;15;93.75;0;0;25;75;31.25;62.5;18/10/2021;19/09/2022;261.75;05/07/2022;972;100;2.923
Armeria cantabrica;130921-15;Snowbed;1;25;23;92;22;95.65;0;34.78;4.35;43.48;4.35;56.52;05/10/2021;19/09/2022;273.8333333;04/07/2022;468.5;100;2.607
Armeria cantabrica;130921-15;Snowbed;2;24;19;79.17;19;100;0;0;5.26;89.47;0;100;18/10/2021;13/09/2022;285;29/07/2022;753;100;2.866
Armeria cantabrica;130921-15;Snowbed;3;23;19;82.61;16;84.21;0;5.26;0;78.95;0;78.95;18/10/2021;19/09/2022;280.25;24/07/2022;675.5;100;2.656
Armeria cantabrica;130921-15;Snowbed;4;25;17;68;17;100;0;17.65;17.65;76.47;0;82.35;18/10/2021;13/09/2022;256.9444444;30/06/2022;335;100;2.012
Armeria cantabrica;140921-07;Fellfield;1;11;4;36.36;4;100;0;0;75;25;75;25;08/10/2021;19/07/2022;224.5;19/05/2022;473.5;100;1.5
Armeria cantabrica;140921-07;Snowbed;1;11;3;27.27;3;100;0;0;0;100;0;100;08/10/2021;27/07/2022;282;16/07/2022;618.5;100;1.585
Armeria duriaei;240821-01;Fellfield;1;25;22;88;22;100;100;0;0;0;0;0;10/09/2021;05/11/2021;8.105263158;17/09/2021;118;0;0.7
Armeria duriaei;240821-01;Fellfield;2;25;22;88;22;100;100;0;0;0;0;0;10/09/2021;18/10/2021;7.7;16/09/2021;104;0;0.439
Armeria duriaei;240821-01;Fellfield;3;25;24;96;24;100;100;0;0;0;0;0;10/09/2021;18/10/2021;7.304347826;16/09/2021;104;0;0.25
Armeria duriaei;240821-01;Fellfield;4;25;20;80;20;100;100;0;0;0;0;0;10/09/2021;24/09/2021;7;16/09/2021;104;0;0
Armeria duriaei;240821-01;Snowbed;1;25;21;84;20;95.24;80.95;0;0;9.52;0;14.29;10/09/2021;19/09/2022;25;04/10/2021;231.5;15;1.59
